stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
2233,2233,"du PLATEAU/de l'ATMOSPHÈRE",,  45.436311, -75.771956,,,0,1
2234,2234,"RIEL/TALBOT",,  45.464492, -75.768426,,,0,1
2235,2235,"du PLATEAU/de l'ATMOSPHÈRE",,  45.436442, -75.772399,,,0,1
2236,2236,"RIEL/TALBOT",,  45.464233, -75.768303,,,0,1
2237,2237,"du PLATEAU/des CÈDRES",,  45.436695, -75.770255,,,0,1
2238,2238,"RIEL/MARCOUX",,  45.463984, -75.765165,,,0,2
2239,2239,"du PLATEAU/des CÈDRES",,  45.436903, -75.770445,,,0,1
2240,2240,"RIEL/MARCOUX",,  45.463810, -75.764383,,,0,1
2242,2242,"RIEL/de SAINT-BRIEUC",,  45.464202, -75.761652,,,0,1
2243,2243,"d'EUROPE/d'ANDROMÈDE",,  45.441825, -75.795424,,,0,2
2244,2244,"RIEL/ALIE",,  45.464075, -75.760546,,,0,1
2245,2245,"d'EUROPE/de GANYMÈDE",,  45.440022, -75.795111,,,0,2
2246,2246,"RIEL/de l'ESCALIER",,  45.463236, -75.755894,,,0,1
2247,2247,"d'EUROPE/de GANYMÈDE",,  45.439202, -75.795850,,,0,2
2248,2248,"RIEL/de l'ESCALIER",,  45.463377, -75.756306,,,0,1
2249,2249,"de l'ATMOSPHÈRE/du PRINTEMPS",,  45.436733, -75.788212,,,0,1
2251,2251,"de l'ATMOSPHÈRE/de la NÉBULEUSE",,  45.435705, -75.791279,,,0,1
2253,2253,"de l'ATMOSPHÈRE/de L'ÉTÉ",,  45.435633, -75.790497,,,0,1
2254,2254,"RIEL/du MONT-BLEU",,  45.461152, -75.754177,,,0,1
2255,2255,"de l'ATMOSPHÈRE/du TROPIQUE",,  45.435051, -75.794453,,,0,1
2256,2256,"RIEL/du MONT-BLEU",,  45.461175, -75.754511,,,0,1
2257,2257,"de l'ATMOSPHÈRE/du TROPIQUE",,  45.435269, -75.793738,,,0,2
2258,2258,"RIEL/CHOUINARD",,  45.459119, -75.752386,,,0,1
2260,2260,"RIEL/CHOUINARD",,  45.458490, -75.752109,,,0,1
2262,2262,"RIEL/CHOUINARD",,  45.457779, -75.750820,,,0,1
2264,2264,"RIEL/BÉDARD",,  45.457240, -75.750609,,,0,1
2266,2266,"RIEL/BÉDARD",,  45.456173, -75.748548,,,0,1
2268,2268,"RIEL/ISABELLE",,  45.456010, -75.748751,,,0,1
2269,2269,"de l'ATMOSPHÈRE/des GRIVES",,  45.438110, -75.785298,,,0,1
2270,2270,"RIEL/ISABELLE",,  45.455375, -75.746785,,,0,1
2271,2271,"du PLATEAU/SAINT-RAYMOND",,  45.436247, -75.767130,,,0,1
2272,2272,"RIEL/ISABELLE",,  45.455017, -75.746435,,,0,1
2273,2273,"du PLATEAU/SAINT-RAYMOND",,  45.435885, -75.766486,,,0,1
2274,2274,"ISABELLE/SAINT-ONGE",,  45.453185, -75.745733,,,0,1
2275,2275,"des GRIVES/du STRATUS",,  45.436358, -75.782679,,,0,1
2276,2276,"ISABELLE/SAINT-ONGE",,  45.452863, -75.745461,,,0,1
2278,2278,"ISABELLE/de la GUADELOUPE",,  45.451064, -75.745219,,,0,1
2280,2280,"ISABELLE/de la GUADELOUPE",,  45.449985, -75.745263,,,0,1
2281,2281,"de l'ATMOSPHÈRE/de l'ASTROLABE",,  45.437736, -75.773224,,,0,1
2282,2282,"ISABELLE/FRÉCHETTE",,  45.447467, -75.744724,,,0,2
2283,2283,"des GRIVES/de l'HORIZON",,  45.436762, -75.783798,,,0,1
2284,2284,"ISABELLE/FRÉCHETTE",,  45.447646, -75.744970,,,0,1
2285,2285,"SAINT-RAYMOND/LIONEL-ÉMOND",,  45.446234, -75.749816,,,0,1
2286,2286,"SAINT-RAYMOND/ISABELLE",,  45.446451, -75.746945,,,0,1
2287,2287,"SAINT-RAYMOND/LIONEL-ÉMOND",,  45.446588, -75.749168,,,0,1
2288,2288,"SAINT-RAYMOND/CORBEIL",,  45.446814, -75.745458,,,0,1
